세부 페이지,RQ-ID,설계ID,기능이름,1Depth,2Depth,3Depth,기능설명,입력,예외처리
로그인/SSO 콜백,,FS-AUTH-LOGIN-01,그룹웨어/Keycloak 로그인 진입,공통,인증/SSO,로그인 버튼,"- 그룹웨어/포털에서 유저가 인증 토큰 없을시, SSO 로그인 엔드포인트로 리디렉션한다.
 - 이미 로그인이 되어 있으면 곧바로 콜백 URL로 이동한다.",- SSO 엔드포인트 URL,"- 세션이 만료된 경우 로그인 페이지로 이동시키고, 성공 후 원래 URL로 리다이렉트.
 - 잘못된 엔드포인트 접근 시, 404 에러 페이지로 이동"
,,FS-AUTH-LOGIN-02,SSO 콜백 처리 및 토큰 교환,,,콜백 처리,"- 콜백 URL에서 인증 코드를 수신하고, 토큰 엔드포인트로 액세스 토큰을 교환한다.","- 콜백 파라미터(authorization code, state 등)
 - 토큰 API 응답(JSON)","- 코드/토큰이 유효하지 않은 경우 로그인 재시도를 요청하는 안내 페이지 표시.
 - 토큰 파싱 오류 시 로그 기록 후 기본 오류 페이지 노출."
,,FS-AUTH-LOGIN-03,역할 매핑 및 초기 권한 세팅,,,역할 매핑,"- LDAP/그룹웨어의 조직/직책 정보를 기반으로 내부 역할(직원/관리자/영상제작자/검토자/신고담당자)을 매핑한다.
 - 매핑된 역할을 JWT/세션에 저장해 이후 화면 접근 제어에 사용한다.","- 외부 디렉터리/그룹웨어에서 내려주는 직급·부서·그룹 정보
 - 내부 역할 매핑 설정 테이블","- 역할을 전혀 찾지 못하면 최소 권한(일반 직원)으로 폴백하고 로그에 남긴다.
 - 권한 충돌 시 우선순위 규칙에 따라 하나만 선택."
,,FS-AUTH-LOGIN-04,로그아웃 및 세션 만료 처리,,,로그아웃,"- 상단 헤더의 로그아웃 메뉴에서 세션/토큰을 모두 삭제하고 로그인 페이지 또는 그룹웨어 메인으로 이동한다.
 - 세션 타임아웃 시 자동으로 재로그인 안내 배너를 표시한다.","- 로그아웃 버튼 클릭 이벤트
 - 현재 세션 토큰/리프레시 토큰","- 로그아웃 중 오류가 발생해도 토큰 삭제를 우선 수행하고, 실패 시 에러 로그만 남김
 - 타임아웃 발생 시, 로그인 페이지로 이동"
상단 헤더/레이아웃,,FS-LAYOUT-HEADER-01,상단 헤더 메뉴 및 라우팅,,레이아웃,헤더 메뉴,"- 상단 헤더에 “알림, 로그아웃, 로그인된 사용자 이름” 메뉴를 배치한다.
- 사이드바에 ""교육, 공지사항, 대시보드, 메신저, 조직도, 행사페이지, 마이페이지, 전자결제"" 메뉴를 배치한다.
 - 각 메뉴 클릭 시 해당 페이지로 라우팅되며, 현재 위치에 따라 활성 메뉴 스타일을 적용한다.","- 프론트 라우팅 설정(경로, 컴포넌트 매핑)
 - 사용자 역할에 따른 노출 가능한 메뉴 목록","- 권한이 없는 메뉴 접근 시 메인 페이지 또는 접근 불가 안내 화면으로 리다이렉트.
 - 알 수 없는 경로는 404 페이지 대신 메인으로 이동."
플로팅 아이콘,,FS-LAYOUT-FLOAT-01,챗봇 플로팅 아이콘 표시/숨김 조건,,,플로팅 아이콘,"- 모든 화면 우하단에 챗봇 플로팅 아이콘을 표시한다.
 - 이미 “새 채팅 화면”인 경우에는 중복을 피하기 위해 플로팅 아이콘을 숨긴다.","- 현재 라우트 정보(페이지 경로)
 - 뷰포트 크기(모바일/PC 구분용, 필요 시)",
,,FS-LAYOUT-FLOAT-02,플로팅 아이콘 클릭 시 새 채팅 화면 이동,,,새 채팅 진입,"- 플로팅 아이콘 클릭 시 항상 “새 채팅 화면”으로 라우팅한다.
 - 기존 세션과 상관 없이 새로운 대화 세션을 생성한다.","- 플로팅 아이콘 클릭 이벤트
 - 사용자 세션/역할 정보",- 인증이 만료된 상태에서 클릭 시 로그인 화면으로 이동
새 채팅 화면,,FS-CHAT-HOME-01,새 채팅 화면 진입(플로팅/메뉴 공통),챗봇,새 채팅 진입,진입 트리거,"- 상단 메뉴 “채팅” 또는 플로팅 아이콘 클릭 시 새 채팅 화면으로 이동한다.
 - 새 채팅 화면은 항상 빈 대화 + 카드 영역 상태로 초기화한다.","- 사용자 클릭 이벤트
 - 현재 사용자 ID/역할 정보","- 인증되지 않은 경우 로그인 페이지로 리다이렉트.
 - 초기화 중 오류 시 기존 세션을 그대로 보여주고 오류 로그 기록."
,,FS-CHAT-HOME-02,새 채팅 화면 레이아웃 구성,,새 채팅 UI,레이아웃,"- 상단은 카드형 진입 영역, 하단은 챗봇 대화 영역으로 2분할한다.","- 뷰포트 크기
 - 사용자 역할별 카드 메타데이터",
,,FS-CHAT-HOME-03,역할 기반 좌측 카드 노출 결정,,좌측 카드,역할별 카드 구성,"- 모든 사용자에게 FAQ/교육/퀴즈 카드를 공통으로 노출한다.
 - 신고/영상/관리자 카드 등은 역할(신고담당자, 영상제작자, 검토자, 관리자)에 따라 추가 노출한다.","- 사용자 역할 리스트(ROLE_USER, ROLE_ADMIN, ROLE_VIDEO_CREATOR 등)","- 역할 정보를 불러오지 못하면 일반 직원용 카드만 노출하고 로그로 남긴다.
 - 중복 역할은 중복 카드를 제거하여 한 번만 표시."
,,FS-CHAT-HOME-04,좌측 카드 공통 스타일/동작,,,카드 공통 스타일,"- 카드에 아이콘, 제목, 필요시 한 줄 설명을 포함한 통일된 디자인을 적용한다.
 - 카드 클릭 시 키보드 포커스/접근성(Enter, Space)도 지원한다.","- 프론트 카드 설정(아이콘, 라벨, 설명, 라우트)","- 잘못된 라우트로 연결된 카드 클릭 시 “준비 중인 기능입니다” 안내 토스트를 표시하고, 화면 전환은 하지 않는다."
,,FS-CHAT-HOME-05,FAQ 카드 4개 조회 및 렌더링,,,FAQ 카드 표시,"- 서버에서 “전사 공통 FAQ 상위 4개”를 조회하여 카드 형태로 표시한다.
 - 각 카드에 대표 질문과 도메인 배지를 함께 노출한다.","- FAQ 조회 API 응답: 질문ID, 질문 문장, 도메인, 순서","- FAQ 조회 실패 시 “FAQ 준비 중입니다. 직접 질문을 입력해 주세요.” 메시지 표시.
 - FAQ 데이터가 없으면 FAQ 영역은 유지하고 안내 문구만 노출."
,,FS-CHAT-HOME-06,FAQ 카드 클릭 시 질문 자동 전송,,,FAQ 클릭 동작,"- FAQ 카드 클릭 시 해당 질문을 우측 입력창에 채우고 바로 전송한다.
 - FAQ 질문도 일반 대화와 동일하게 세션/로그에 저장한다.","- FAQ 카드 클릭 이벤트(질문ID, 질문 텍스트)
 - 현재 세션ID(없으면 새로 생성)","- 응답 생성 실패 시 “FAQ 기반 답변을 생성하지 못했습니다.” 토스트와 재시도 버튼 제공.
 - 짧은 시간 내 반복 클릭 시 디바운스 처리."
,,FS-CHAT-HOME-07,교육/퀴즈/대시보드 카드 라우팅,,,기능 진입 라우팅,"- 교육 카드는 교육 대시보드(4대/직무 탭)로 이동한다.
 - 퀴즈 카드는 퀴즈 대시보드로 이동한다.
 - 신고/영상/관리자 카드는 각자 대시보드/관리 화면으로 이동한다.","- 카드 타입(교육/퀴즈/신고/영상/관리자)
 - 사용자 역할/부서","- 권한 없는 기능으로 이동 시 “접근 권한이 없습니다” 안내 후 새 채팅 화면 유지.
 - 화면 컴포넌트 로딩 실패 시 공통 에러 페이지로 이동."
,,FS-CHAT-HOME-09,채팅 입력창 및 전송 처리,,우측 대화영역,입력/전송,"- 하단 입력창과 전송 버튼을 제공하고 Enter/버튼으로 질문을 전송한다.
 - 공백/빈 문자열은 전송하지 않고 경고 메시지를 표시한다.","- 사용자가 입력한 질문 텍스트
 - 세션ID, 사용자ID","- 서버 오류/타임아웃 시 “답변 생성에 실패했습니다” 안내와 재시도 버튼 표시.
 - 동일 질문 반복 전송 시 서버 과부하를 막기 위한 최소 간격 제한 도입 가능."
,,FS-CHAT-HOME-10,새 채팅 시작(세션 초기화),,우측 대화영역,세션 관리,"- “새 채팅” 버튼 클릭 시 새로운 세션ID를 발급하고 기존 대화 메시지를 화면에서 숨긴다.
 - 좌측 카드 구성은 유지한다.","- 새 채팅 버튼 클릭 이벤트
 - 현재 세션ID","- 세션 생성 실패 시 기존 세션을 유지하면서 오류 메시지 표시.
 - 연속 클릭 방지를 위해 버튼 디스에이블 처리."
,,FS-CHAT-HOME-11,응답 로딩 상태/오류 메시지 표시,,우측 대화영역,로딩/오류 표시,"- 질문 전송 후 응답 도착 전까지 로딩 인디케이터(예: 점 3개 애니메이션)를 표시한다.
 - 오류 발생 시 말풍선 형태의 에러 메시지와 재시도 링크를 제공한다.","- 응답 상태(대기/성공/실패) 플래그
 - 서버 응답 코드","- 4xx/5xx 오류 시 상세 사유는 로그에만 남기고, 화면에는 일반화된 메시지만 노출.
 - 일정 시간 이상 응답이 없으면 타임아웃 처리."
,,FS-CHAT-HOME-12,세션/메시지 로그 및 피드백 수집 트리거,,로그/피드백,데이터 수집,"- 각 질문/응답 쌍에 대해 세션ID, 도메인, 응답시간, 사용 문서ID 등을 로그로 전송한다.
 - N번째 메시지 또는 세션 종료 시점에 피드백(👍/👎)을 요청하는 트리거를 발생시킨다.","- 질문/응답 메타데이터
 - 피드백 값(있을 경우)","- 로그 전송 실패 시 일정 횟수 재시도 후 포기하고 로그만 남김.
 - 피드백 저장 실패는 사용자에게 재요청하지 않고 조용히 실패 로그만 기록."
,,FS-CHAT-TITLE-01,AI 기반 채팅방 제목 자동 생성,세션 관리,세션 제목,LLM 자동 생성,"새 세션 생성 후 첫 번째 사용자 질문과 첫 번째 AI 응답이 완료되면, 해당 내용을 입력으로 LLM을 호출하여 세션 제목을 자동 생성한다. 제목은 한국어 1줄, 최대 20자 이내로 제한하며, 사람 이름·전화번호·이메일·주민번호·계좌번호 등 PII 패턴이 포함되지 않도록 필터링한다. 생성된 제목은 세션 테이블의 title 컬럼에 저장되고, 새 채팅 화면 좌측 목록과 채팅방 상단 헤더에 표시된다. 초기에는 “새 채팅 yyyy-MM-dd HH:mm” 형태의 기본 제목을 사용하고, AI 제목 생성이 성공하면 이를 덮어쓴다.","세션ID, 첫 질문 텍스트, 첫 AI 응답 텍스트(앞부분 일부), LLM 제목 생성 결과","LLM 호출 실패 또는 결과가 빈 문자열/긴 문자열/PII 포함일 경우 기본 제목(“새 채팅 + 타임스탬프”)을 유지하며, 실패 로그를 남긴다. 제목 저장 실패 시에도 세션 자체는 정상 동작하고, 목록에는 기본 제목만 표시된다."
,,FS-CHAT-RETRY-ERR-01,LLM 응답 실패 시 다시 시도 버튼,대화 영역,에러 처리,재시도,"LLM 호출이 타임아웃 또는 5xx 오류 등으로 실패한 경우, 해당 위치에 “응답을 불러오지 못했습니다.”라는 오류 메시지 말풍선을 표시하고, 말풍선 내에 다시 시도 버튼을 제공한다. 사용자가 다시 시도를 클릭하면 동일한 사용자 질문과 세션 컨텍스트(직전 메시지 히스토리)를 사용해 LLM을 재호출한다. 성공 시 오류 말풍선을 정상 응답 말풍선으로 교체하고, 실패 시 재시도 횟수를 증가시키며 오류 로그에 기록한다.","세션ID, 메시지ID, 사용자 질문 텍스트, 직전 히스토리(컨텍스트), LLM 오류 코드","재시도 호출도 연속 실패 시, 최대 N회(예: 3회)까지만 재시도를 허용하고 이후에는 “지속적으로 응답에 실패했습니다. 잠시 후 다시 시도해 주세요.” 안내를 출력한다. 재시도 중 네트워크 오류 발생 시, 동일한 화면에 토스트 메시지로 알리고 기존 오류 말풍선은 유지한다."
,,FS-CHAT-RETRY-ALT-01,정상 응답 재생성(다시 답변 받기),,응답 액션,재생성,"LLM 응답이 정상적으로 도착한 경우에도, 각 AI 응답 말풍선 우측 하단에 다시 답변 받기 아이콘을 제공하여 동일 질문에 대해 다른 답변을 재생성할 수 있도록 한다. 재생성 시 동일 질문 텍스트와 세션 컨텍스트를 기반으로 LLM을 다시 호출하며, 백엔드는 재생성 요청인지 표시하기 위해 retry 플래그와 retryCount를 저장한다. 새로 생성된 응답은 기존 응답 아래에 새로운 말풍선으로 추가하고, 두 응답 모두 히스토리에 남긴다.","세션ID, 메시지ID, 사용자 질문 텍스트, 컨텍스트, 재생성 요청 플래그","재생성 호출 실패 시 기존 응답은 그대로 유지하고, 해당 말풍선 하단에 “새 응답 생성에 실패했습니다.” 안내와 함께 재시도 버튼을 추가로 표시한다. 재생성 요청이 과도하게 반복되는 경우(예: 동일 메시지에 대해 5회 이상) 서버에서 제한하고 “더 이상 재생성을 지원하지 않습니다.” 안내를 보여준다."
,,FS-CHAT-FEEDBACK-01,응답 복사 및 좋아요/별로예요 평가,,,복사·평가,"각 AI 응답 말풍선 우측 하단에 마우스 오버 시 복사, 좋아요, 별로예요 아이콘 버튼을 표시한다. 복사 클릭 시 해당 응답 전체 텍스트를 클립보드에 복사하고, 좋아요/별로예요 클릭 시 해당 응답에 대한 품질 평가를 피드백 로그 테이블에 저장한다. 피드백 로그에는 세션ID, 메시지ID, 사용자ID, 도메인(교육/보안/사규/직무/일반), 타임스탬프를 함께 기록한다. 평가 상태는 동일 말풍선 아이콘 색상 또는 상태 값으로 표시한다.","세션ID, 메시지ID, 사용자ID, 응답 텍스트, 도메인, 평가 값(좋아요/별로)","브라우저 환경에서 클립보드 접근이 차단된 경우 복사 실패 토스트를 띄우고, 기능 사용 불가를 안내한다. 피드백 저장 실패 시 사용자에게 추가 입력을 요구하지 않고 조용히 실패 로그만 남기며, UI에는 평가 상태를 반영하지 않는다."
,,FS-CHAT-FAQ-01,FAQ 카드 영역 표시(4개),상단 카드,FAQ,질문 카드,"새 채팅 화면 상단에 전 직원 공통 FAQ 카드 4개를 표시한다. 각 카드는 자주 묻는 질문 텍스트(Q)와 간단한 설명(선택)을 포함하며, 최근 로그 기반으로 자동 선정된 질문들이다. 초기 로딩 시 FAQ API를 통해 현재 유효한 FAQ 리스트를 조회하고, 최대 4개의 카드만 노출한다. 카드에는 질문 카테고리(교육/사규/업무 등)를 태그 형태로 함께 표시할 수 있다.","FAQ 목록 API 응답(FAQID, 질문 텍스트, 카테고리, 우선순위, 유효 기간 등)","FAQ 데이터 조회 실패 시 FAQ 영역을 숨기고, 새 채팅 화면 본문만 표시한다. FAQ 개수가 4개 미만일 경우 존재하는 개수만큼만 표시하고 나머지 카드는 렌더링하지 않는다."
,,FS-CHAT-FAQ-02,FAQ 카드 클릭 시 질문 자동 입력,,,클릭 동작,"사용자가 FAQ 카드를 클릭하면, 해당 카드의 질문 텍스트를 채팅 입력창에 자동으로 채워 넣고 즉시 전송한다. 이때 챗봇은 FAQ에 대한 대답을 실시간으로 새로 생성하며, 기존에 저장된 고정 텍스트 답변을 그대로 보여주지 않는다. 사용자가 FAQ 카드를 눌러도 과거 대화와는 별도 세션이 아닌, 현재 열린 세션 내에서 질문·답변이 이어지도록 처리한다.","FAQID, FAQ 질문 텍스트, 현재 세션ID","입력창에 텍스트를 채우는 중 오류가 발생하면 클릭 이벤트를 무시하고, “FAQ 질문을 불러오지 못했습니다. 직접 입력해 주세요.” 토스트를 띄운다. LLM 응답 실패 시 기존 에러 처리/재시도 로직(FS-CHAT-RETRY-ERR-01)을 그대로 적용한다."
,,FS-CHAT-FEEDBACK-SESSION-01,세션 단위 만족도 설문 팝업,세션 종료,만족도 평가,팝업,"한 세션에서 일정 횟수 이상의 대화가 오간 후(예: 사용자 발화 20회 이상) 또는 세션 종료 버튼 클릭 시, 세션 전체에 대한 만족도 설문 팝업을 띄운다. 설문은 5점 척도(별점)와 간단한 자유 의견을 입력할 수 있는 형태로 구성한다. 사용자가 평가를 완료하면 세션ID, 점수, 의견을 세션 피드백 테이블에 저장한다. 평가를 건너뛰는 버튼(“나중에 하기”)도 제공하되, 초기 버전에서는 강제는 하지 않고 자연스럽게 수집하는 형태로 구성한다.","세션ID, 사용자ID, 발화 횟수, 평가 점수, 의견 텍스트","피드백 저장 실패 시 세션 동작에는 영향을 주지 않고, 팝업 닫기만 허용한다. 팝업 노출이 과도하게 반복되지 않도록 일정 기간(예: 하루 1회) 이상 세션 평가를 요청하지 않도록 클라이언트/서버에서 제한한다."
교육 메인,,FS-EDU-MAIN-01,교육 메인 탭 구조 표시,교육,교육 메인,탭 구조,"- 직장 내 괴롭힘, 성희롱, 장애 인식 개선, 보안, 직무 교육 별로 영상을 제공한다.","- 사용자 부서/역할 정보
 - 탭 선택 상태
- 사용자에게 4대교육은 올해 영상만 보여지며 직무교육은 3년전 영상까지 보여진다.","- 탭 데이터 로딩 실패 시 해당 탭 영역에만 오류 메시지 표시하고, 다른 탭은 정상 사용 가능하도록 분리."
,,FS-EDU-MAIN-02,마지막 사용 탭 기억/기본값 설정,,,탭 상태 저장,"- 사용자가 마지막으로 열었던 탭 정보를 로컬 스토리지 또는 서버에 저장한다.
 - 다음 진입 시 해당 탭을 기본으로 선택한다.",- 저장된 마지막 탭 정보(없으면 기본값: 4대 교육),"- 저장된 값이 유효하지 않으면 기본 탭(4대 교육)으로 폴백.
 - 저장 오류는 기능에 영향 없으므로 로그만 남김."
4대 필수 교육 목록,,FS-EDU4-LIST-01,4대 교육 카드 목록 표시,,4대 교육,카드 목록,"- 성희롱, 직장 내 괴롭힘, 정보보안/개인정보, 장애 인식 개선 총 4개 과목을 카드로 고정 표시한다.
 - 각 카드에 과목명, 예상 시청 시간, 이수 상태(미이수/진행중/완료)를 노출한다.","- 사용자별 이수현황 API 응답(과목별 이수율, 날짜 등)","- 이수현황 조회 실패 시 카드 자체는 표시하되 상태를 “알 수 없음”으로 표시하고, 상세 페이지에서 다시 조회."
,,FS-EDU4-LIST-02,4대 교육 카드 클릭 시 상세 화면 이동,,,카드 클릭 동작,"- 카드 클릭 시 해당 과목의 영상 재생 화면으로 이동한다.
 - 이동 시 과목코드/사용자ID를 함께 전달하여 이수 로직에서 사용한다.","- 카드 클릭 이벤트(과목코드)
 - 사용자ID",- 잘못된 과목코드로 접근 시 메인 교육 페이지로 리다이렉트하고 에러 메세지 표시.
4대 교육 상세/재생,,FS-EDU4-DETAIL-01,4대 교육 영상 재생 화면 구성,,,영상 플레이어,"- 제목, 설명, 영상 플레이어, 이수 상태 표시, 퀴즈 진입 버튼 영역으로 구성한다.
 - 영상 이수 전에는 재생/일시정지는 가능하지만 시크바 이동은 불가능하다. 
 - 영상 이수 후에는 시크바 이동 가능하다.","- 영상 메타데이터(파일 경로/URL, 길이)
 - 현재 이수 상태","- 영상 로딩 실패 시 “영상 재생에 실패했습니다” 안내 및 새로고침/문의 안내 제공.
 - 플레이어 오류는 로그로 기록."
,,FS-EDU4-DETAIL-02,시청 이벤트 기반 이수 상태 갱신,,,이수 처리,"- 시청율이 기준 이상(예: 90%)에 도달하면 이수 완료로 처리한다.
 - 완료 시 이수일자와 사용자ID를 이수 테이블에 기록한다.","- 플레이어 시청 이벤트(시청 위치, 전체 길이)
 - 기준 시청율 설정 값","- 이수 API 실패 시 화면에 “이수 처리에 실패했습니다. 다시 시도해 주세요.” 토스트 표시.
 - 중복 이수 요청은 무시하되 로그만 남김."
,,FS-EDU4-DETAIL-03,이수 완료 후 퀴즈 진입 버튼 활성화,,,퀴즈 진입,"- 이수 상태가 완료인 경우에만 “퀴즈 풀기” 버튼을 활성화한다.
 - 버튼 클릭 시 해당 과목에 대한 퀴즈 시작 화면으로 이동한다.","- 이수 상태(미이수/완료)
 - 과목코드",- 이수 상태를 가져오지 못하면 버튼을 비활성화하고 안내 툴팁(“이수 후 퀴즈 응시 가능”)을 표시.
내 부서 직무교육 목록,,FS-EDUD-LIST-01,내 부서 직무교육 목록 조회,,직무교육,목록 조회,"- 로그인한 사용자의 부서ID 기준으로 해당 부서 직무교육 목록을 조회한다.
 - 제목, 카테고리, 필수/선택 여부, 이수 상태를 리스트/카드로 보여준다.","- 사용자 부서ID
 - 직무교육 목록 API 응답","- 목록이 비어 있으면 “등록된 직무교육이 없습니다” 안내 표시.
 - API 오류 시 재시도 버튼 제공."
,,FS-EDUD-LIST-02,직무교육 목록 필터/검색/정렬,,,필터/검색,"- 카테고리/필수 여부/이수 상태 기준으로 필터링할 수 있다.
 - 최신 업데이트순/제목순 정렬 기능을 제공한다.","- 사용자가 선택한 필터 값(카테고리, 필수/선택, 이수 상태)
 - 정렬 옵션","- 조건에 맞는 데이터가 없으면 “해당 조건에 맞는 교육이 없습니다” 안내.
 - 필터 값이 잘못된 경우 기본값으로 되돌림."
,,FS-EDUD-LIST-03,직무교육 목록에서 상세 화면 이동,,,항목 클릭,"- 목록/카드 클릭 시 해당 직무교육의 상세/영상 재생 화면으로 이동한다.
 - 이동 시 training_id를 전달한다.","- 리스트 항목 클릭 이벤트
 - training_id","- 존재하지 않는 training_id 접근 시 목록 페이지로 리다이렉트.
 - 오류 내용을 로그로 기록."
직무교육 상세/재생,,FS-EDUD-DETAIL-01,직무교육 영상 상세/재생 화면 구성,,,상세/재생,"- 제목, 설명, 대상 부서, 필수/선택 여부, 영상 플레이어를 표시한다.
 - 이수 상태/이력도 함께 보여준다.","- 직무교육 메타데이터(제목, 설명, 부서, 필수 여부, 영상 URL)
 - 사용자 이수 이력","- 영상이 없는 경우 “영상이 등록되지 않았습니다” 안내.
 - 메타데이터 로딩 실패 시 상위 목록으로 되돌리기."
,,FS-EDUD-DETAIL-02,필수 직무교육 이수 처리,,,필수 이수 처리,"- 필수로 지정된 교육은 시청율 기준을 만족해야 이수 완료로 처리한다.
 - 완료된 경우 해당 필수 교육 이수 여부를 테이블에 기록한다.","- 플레이어 시청 이벤트
 - 필수 여부 플래그","- 이수 저장 실패 시 재시도/문의 안내 제공.
 - 중복 이수 요청은 무시."
,,FS-EDUD-DETAIL-03,선택 직무교육 시청 로그,,,선택 시청 로그,"- 선택 교육의 경우 이수 여부 대신 시청 시작/종료 시간을 로그로 남긴다.
 - 추후 교육 기획 시 인기/이용 빈도 분석에 활용한다.","- 플레이어 시청 이벤트
 - 교육 유형(선택)",- 로그 저장 실패는 사용자에게 알리지 않고 서버 로그에만 기록.
퀴즈 시작/선택,,FS-QUIZ-START-01,퀴즈 대상 교육 선택 화면,퀴즈,퀴즈 시작,교육 선택,"- 사용자가 어떤 교육(4대/직무) 퀴즈를 풀지 선택하는 리스트를 보여준다.
 - 이수 완료한 교육만 리스트에 노출하거나 표시를 구분한다.","- 사용자의 교육 이수 이력
 - 교육 목록(4대/직무)",- 이수 이력이 없는 교육 선택 시 퀴즈 진입을 막고 “해당 교육 이수 후 응시 가능” 안내.
,,FS-QUIZ-START-02,퀴즈 규칙/횟수 안내,,,규칙 안내,"- 최대 응시 횟수, 통과 기준 점수, 시간 제한(있을 경우)을 안내한다.
 - “시작하기” 버튼 클릭 시 실제 퀴즈 풀이 화면으로 이동한다.","- 사용자의 기존 응시 횟수
 - 퀴즈 설정(문항 수, 시간, 통과 기준)",- 이미 최대 응시 횟수를 초과한 경우 시작 버튼 비활성화 및 안내 문구 표시.
